,Time (s),A1,B1,C1,D1,A2,B2,C2,D2,A3,B3,C3,D3,A4,B4,C4,D4,A5,B5,C5,D5,A6,B6,C6,D6
4670,46.7,8.323200745508075,11.6026058094576,7.664340955670923,13.300385035108775,9.572337148711085,9.850649803411216,11.439384252298623,8.777460607234389,5.406604032032192,6.619193300139159,6.559690518770367,7.797774742357433,8.016075298655778,8.520692063029855,7.960959919728339,7.184848072938621,6.514048436656594,8.105911547318101,8.855800842866302,6.873015081509948,8.261253242380917,10.595147614367306,8.712042472325265,9.309682354796678
4671,46.71,7.436006853822619,9.929579391609877,7.373106200248003,13.221317203715444,7.7831646194681525,9.897601557895541,11.419993825256824,7.874717994127423,4.770219675265253,6.931164534762502,5.003283149562776,7.778588042128831,7.526134140789509,8.23676964500919,7.006849045865238,6.311223842203617,6.928610673639923,7.471353455912322,8.191796950995922,5.653419066220522,7.199298124760389,7.5302450568415225,9.800372936297208,7.964474207255989
4672,46.72,5.575966497417539,6.373134965542704,6.842412403784692,9.41466714721173,5.291367415338755,8.068775059655309,9.564959327690303,7.483649824280292,3.794222720898688,5.188725481275469,5.197754944674671,6.224174285307527,7.408794772345573,6.286471034400165,7.1171525632962584,3.6678757169283926,6.6113207140006125,8.446142601314932,6.006142939440906,5.620531737804413,5.4380507208406925,5.5887066991999745,8.35928221931681,7.543305400758982
4673,46.73,6.3726038206368685,6.7308355937711895,6.1200844356790185,8.459777745883912,4.466899554245174,7.840157195460051,8.61581793287769,7.864735380280763,4.433466529008001,4.239460395183414,6.739071977790445,4.996247298549861,7.711299986112863,5.629095539916307,7.821872713975608,2.0181905711069703,6.292582838796079,9.232768206857145,4.664856533054262,7.149232260417193,5.135741957928985,6.268077413551509,7.037560862954706,7.474409358110279
4674,46.74,8.505405276082456,9.831266652327031,5.863978003617376,12.197881005704403,5.90301351621747,9.267729183193296,9.345749276690185,8.505310688633472,5.953472282271832,5.756162863690406,6.8906374508515,6.2584440456703305,7.186485163401812,7.425514922942966,6.950896931812167,3.805493179243058,6.464324542321265,9.059040166903287,4.9959999159909785,7.956346962600946,6.566064257640392,7.39273673389107,7.438175089191645,7.682836439926177
4675,46.75,8.93872493179515,10.146824934054166,7.553819159511477,14.179684512782842,7.8060111263766885,9.784285794012249,10.745316103566438,9.040755685418844,6.167851097416133,8.190232620108873,6.723246769979596,7.645794539712369,6.283065886236727,9.09389927983284,6.544411007780582,6.549467798322439,6.650625437032431,8.706301741767675,5.760499334428459,7.183851266745478,7.362141332123429,8.994924428407103,8.092494681477547,8.723167411517352
4676,46.76,8.123482984956354,7.5886782724410295,8.67510971147567,11.967727914452553,7.768503564875573,8.839298970997334,11.33989280788228,8.053248166106641,4.957131750416011,8.098468242678791,6.340320396702737,6.228714482858777,6.439877324737608,8.029346645344049,7.786205969750881,6.765556463506073,6.295427738223225,7.697592081967741,5.377492925617844,5.192778189666569,6.215821485966444,10.18043258227408,8.318755135405809,9.044160833582282
4677,46.77,6.97711220709607,6.66921550873667,7.28509621694684,9.636081813368946,6.197420589160174,8.57781560625881,10.645038855727762,5.269692337606102,4.086621629539877,4.965761036146432,4.658875695895404,4.49847721029073,7.069087587296963,5.776164471171796,6.997463060542941,5.594047252088785,5.914946086704731,6.130787369329482,4.387919034343213,3.469482180662453,5.33783168066293,8.414688636548817,8.157956472132355,7.363705663010478
4678,46.78,4.827546945307404,7.810915121808648,6.570204277522862,8.228293154388666,5.13726263307035,8.43885209178552,9.517447324469686,3.9443548303097486,4.4236439862288535,2.3631873773410916,3.944573109038174,4.750436346512288,6.718495569657534,5.359863280318677,4.096436896361411,5.371439328882843,6.303249392658472,5.966343451291323,4.680819984059781,3.731358447112143,5.981193680781871,6.186113751027733,6.8029112298972905,5.712441634386778
4679,46.79,4.222776624374092,9.346789738629013,8.883936970960349,7.697453838773072,5.897367373108864,7.255170203279704,10.12397842714563,6.415291863959283,6.027446943335235,3.5203847801312804,6.0289166867733,5.302928911987692,6.813628715462983,7.0745954872109,4.920977517031133,5.9553494793362916,7.628492312505841,7.273265509866178,6.245063559617847,5.469722964335233,7.01431417837739,7.444410584867001,5.645139026455581,6.395588570740074
